name,status,stage,sex,national,att1,gen,religion
"אבוהב, רותם",כוכבות,,נ,יהודי,,,
"אביבי, שי",סטנדאפ לאחר כוכבות,,ז,יהודי,,,
"אבלסון, קנדי",פתיחת קופות,קומדי בר,נ,יהודי,,,
"אבני, מיטל",פתיחת קופות,נשי ותהני,נ,יהודי,,,
"אבקסיס, נדב",כוכבות,,ז,יהודי,,,
"אברהם, מורן",הופעות/כתיבה בטלוויזיה,,נ,יהודי,,,
"אברהם, עודד",במות פתוחות,ערב הסטנדאפ האינטימי,ז,יהודי,,,
"אברמוב, אפרת",הופעות/כתיבה בטלוויזיה,,נ,יהודי,,,
"אגמון, לוטן",במות פתוחות,,ז,יהודי,,,
"אדלר, גיא",קביעות במועדונים,"ערב הסטנדאפ המיותר, קאמל קומדי קלאב",ז,יהודי,,,
"אהרון, תם",כוכבות,,ז,יהודי,,,
"אהרונוביץ', מוטי",פתיחת קופות,קאמל קומדי קלאב,ז,יהודי,,,
אודי ואביעד,פתיחת קופות,,ז,יהודי,צמד,,
"אוחיון, אורי",במות פתוחות,,ז,יהודי,,,
"אונגר, נועם",קביעות במועדונים,סטנדאפ פקטורי,ז,יהודי,,,
"אור גיל, מעיין",במות פתוחות,ערב הסטנדאפ המיותר,נ,יהודי,,,
"אור פז, איזי",במות פתוחות,איזי והפתולוגים,ז,יהודי,,,
"אור, דינה",פתיחת קופות,,נ,יהודי,,,
"אורבך, יאיר",פתיחת קופות,,ז,יהודי,,,
"אורינגר, בן",במות פתוחות,,ז,יהודי,,,
"אורן, ענת",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, סטנדאפ ואלרגיות",נ,יהודי,,,
"אזואליס, צח",במות פתוחות,,ז,יהודי,,,
"אזערי, מורן",פתיחת קופות,בנות עם ביצים,נ,יהודי,,,
"אטיאס, שימי",פתיחת קופות,,ז,יהודי,,,
"אטינגר, אבי",הופעות/כתיבה בטלוויזיה,,ז,יהודי,,,
"איטח, אודי",קביעות במועדונים,סטנדאפ פקטורי,ז,יהודי,,,
"איילון, רועי",במות פתוחות,,ז,יהודי,,,
"אל חלבי, כאמל",קביעות במועדונים,סטנדאפ פקטורי,ז,דרוזי,,,
"אלגוסי, שלומי",פתיחת קופות,,ז,יהודי,,,
"אלטויל, אייל",פתיחת קופות,,ז,יהודי,,,
אלי ומריאנו,כוכבות,,ז,יהודי,צמד,,
"אלימלך, בבר",פתיחת קופות,,ז,יהודי,,,
"אלמקיס, חיים",פתיחת קופות,סטנדאפ פקטורי,ז,יהודי,,,
"אלפי, גורי",כוכבות,קאמל קומדי קלאב,ז,יהודי,,,
"אלקובי, אסתי",במות פתוחות,,נ,יהודי,,,
"אלתרמן, עידן",פתיחת קופות,,ז,יהודי,,,
"אמבון, נדב",במות פתוחות,,ז,יהודי,,,
"אמויאל, שלומי",במות פתוחות,צחוק אין דה בלוק,ז,יהודי,,,
"אמזלג, תמיר",הופעות/כתיבה בטלוויזיה,צוות מנחוס,ז,יהודי,,,
"אמיתי, חננאל",פתיחת קופות,,ז,יהודי,,,
"אמסטרדמסקי, ליאור",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, ערב הסטנדאפ המיותר",ז,יהודי,,,
"אנגל, נועה",במות פתוחות,,נ,יהודי,,,
אסי,במות פתוחות,,ז,יהודי,,,
"אסייג, דניאל",סטנדאפ לאחר כוכבות,,ז,יהודי,,,
"אסייג, שלום",כוכבות,,ז,,,,
"אקילוב, מרינה",קביעות במועדונים,"נשי ותהני, סטנדאפ פקטורי",נ,,,,
"אראל, נוי",במות פתוחות,,נ,,,,
"ארבלי, דודי",קביעות במועדונים,סטנדאפ פקטורי,ז,,,,
"ארז, דודו",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"אריאלי, קובי",פתיחת קופות,,ז,,,,
"ארלוק, הגר",במות פתוחות,,נ,,,,
"ארליך, אילנה",במות פתוחות,,נ,,,,
"אשכנזי, משה",סטנדאפ לאחר כוכבות,,ז,,,,
"אשכנזי, עדי",כוכבות,,נ,,,,
"בארי, איילת",במות פתוחות,,נ,,,,
"בדישי, שאולי",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"בודסקו, הדר",במות פתוחות,,נ,,,,
"בוכריס, איתן",הופעות/כתיבה בטלוויזיה,,ז,,,,
"בוני, ירון",פתיחת קופות,,ז,,,,
"בוסקילה, תמיר",פתיחת קופות,סטנדאפ פקטורי,ז,,,,
"בוקס, דניאל",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,נ,,,,
"בוקר, יובל סול",במות פתוחות,,נ,,,,
"בורשטיין, עומר",פתיחת קופות,"שלישיית בערך, סטנדאפ פקטורי",ז,,,,
"בושם, נדב",פתיחת קופות,ישבנים קוראים שירה,ז,,,,
"בטרקוב, פיטר",במות פתוחות,,ז,,,,
"ביבי, טירן",הופעות/כתיבה בטלוויזיה,,ז,,,,
"בייבי בייבי, שלמה",קביעות במועדונים,סטנדאפ פקטורי,ז,,,,
"בייטל, נילי",במות פתוחות,קומדי בר,נ,,,,
"בירנבוים, ארז",פתיחת קופות,"ערב גסויות, סטנדאפ פקטורי",ז,,,,
"בירנברג, אורן",במות פתוחות,,ז,,,,
"בלבן, לירית",פתיחת קופות,נשי ותהני,נ,,,,
"בלולו, קובי",קביעות במועדונים,קאמל קומדי קלאב,ז,,,,
"בלומנבלט, מתן",הופעות/כתיבה בטלוויזיה,"צ' סופית, ערב הסטנדאפ המיותר",ז,,,,
"בלומנפלד, מירי",פתיחת קופות,,נ,,,,
"בלילה, חיים",במות פתוחות,,ז,,,,
"בן אבו, נתנאל",במות פתוחות,,ז,,,,
"בן ברוך, בן",פתיחת קופות,,ז,,,,
"בן גיגי, מיכל",במות פתוחות,,נ,,,,
"בן דוד, עידן",קביעות במועדונים,קומדי בר,ז,,,,
"בן דרור, אסתר",במות פתוחות,,נ,,,,
"בן חורין, נתנאל",במות פתוחות,ערב הסטנדאפ החמים,ז,,,,
"בן משה, שלי",במות פתוחות,,ז,,,,
"בן נח, ינאי",קביעות במועדונים,"הסטנדאפ של הגיקים, סטנדאפ פקטורי",ז,,,,
"בן נמר, רותם",במות פתוחות,,נ,,,,
"בן צבי, אלישר",במות פתוחות,,ז,,,,
"בן שבת, עופר",הופעות/כתיבה בטלוויזיה,עופר ומאר,ז,,,,
"בן שחר, זאב",פתיחת קופות,,ז,,,,
"בן שמואל, אביב",הופעות/כתיבה בטלוויזיה,,ז,,,,
"בנאי, אורנה",כוכבות,,נ,,,,
"בנדק, דביר",סטנדאפ לאחר כוכבות,,ז,,,,
"בצר, נעם",במות פתוחות,,נ,,,,
"בק פוגל, קרן",פתיחת קופות,,נ,,,,
"בקשי, אורן",הופעות/כתיבה בטלוויזיה,צוות מנחוס,ז,,,,
"בר ישי, אבישי",במות פתוחות,,ז,,,,
"בר נתן, רועי",כוכבות,,ז,,,,
"בר, עמרי",במות פתוחות,ערב הסטנדאפ המאוחד,ז,,,,
"בר, תמיר",הופעות/כתיבה בטלוויזיה,,ז,,,,
"בראבא, שלמה",סטנדאפ לאחר כוכבות,,ז,,,,
"ברדוגו, עדן",במות פתוחות,,נ,,,,
"ברו, שמואל",פתיחת קופות,,ז,,,,
"ברויר, אורי",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"ברוך, אליהו",קביעות במועדונים,קומדי בר,ז,,,,
"ברוכים, בני",פתיחת קופות,קומדי בר,ז,,,,
"ברזילי, אורן",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,נ,,,,
"ברזילי, ענת",פתיחת קופות,,נ,,,,
"ברטפלד, טליה",הופעות/כתיבה בטלוויזיה,,נ,,,,
"בריג, אייל",קביעות במועדונים,"ערב גסויות, סטנדאפ פקטורי",ז,,,,
"ברכה, דורון",במות פתוחות,המיקרופון,ז,,,,
"ברכר, מוטי",פתיחת קופות,,ז,,,,
"ברלד, ירון",כוכבות,קומדי בר,ז,,,,
"ברנע לשם, לילך",הופעות/כתיבה בטלוויזיה,,נ,,,,
"ברסמן, עידן",במות פתוחות,,ז,,,,
"ברק, יונתן",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"ברק, נירו",במות פתוחות,האשכנזים,ז,,,,
"ברקאי, עידן",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר,ז,,,,
"ג'י, רועי",פתיחת קופות,קאמל קומדי קלאב,ז,,,,
"ג'רפי, אביחי",במות פתוחות,,ז,,,,
"גבני, יוסי",פתיחת קופות,"שלישיית בערך, סטנדאפ פקטורי",ז,,,,
