"אבוהב, רותם",כוכבות,
"אביבי, שי",סטנדאפ לאחר כוכבות,
"אבלסון, קנדי",פתיחת קופות,קומדי בר
"אבני, מיטל",פתיחת קופות,נשי ותהני
"אבקסיס, נדב",כוכבות,
"אברהם, מורן",הופעות/כתיבה בטלוויזיה,
"אברהם, עודד",במות פתוחות,ערב הסטנדאפ האינטימי
"אברמוב, אפרת",הופעות/כתיבה בטלוויזיה,
"אגמון, לוטן",במות פתוחות,
"אדלר, גיא",קביעות במועדונים,"ערב הסטנדאפ המיותר, קאמל קומדי קלאב"
"אהרון, תם",כוכבות,
"אהרונוביץ', מוטי",פתיחת קופות,קאמל קומדי קלאב
אודי ואביעד,פתיחת קופות,
"אוחיון, אורי",במות פתוחות,
"אונגר, נועם",קביעות במועדונים,סטנדאפ פקטורי
"אור גיל, מעיין",במות פתוחות,ערב הסטנדאפ המיותר
"אור פז, איזי",במות פתוחות,איזי והפתולוגים
"אור, דינה",פתיחת קופות,
"אורבך, יאיר",פתיחת קופות,
"אורינגר, בן",במות פתוחות,
"אורן, ענת",הופעות/כתיבה בטלוויזיה,"ערב הסטנדאפ המיותר, סטנדאפ ואלרגיות"
"אזואליס, צח",במות פתוחות,
"אזערי, מורן",פתיחת קופות,בנות עם ביצים
"אטיאס, שימי",פתיחת קופות,
"אטינגר, אבי",הופעות/כתיבה בטלוויזיה,
"איטח, אודי",קביעות במועדונים,סטנדאפ פקטורי
"איילון, רועי",במות פתוחות,
"אל חלבי, כאמל",קביעות במועדונים,סטנדאפ פקטורי
"אלגוסי, שלומי",פתיחת קופות,
"אלטויל, אייל",פתיחת קופות,
אלי ומריאנו,כוכבות,
"אלימלך, בבר",פתיחת קופות,
"אלמקיס, חיים",פתיחת קופות,סטנדאפ פקטורי
"אלפי, גורי",כוכבות,קאמל קומדי קלאב
"אלקובי, אסתי",במות פתוחות,
"אלתרמן, עידן",פתיחת קופות,
"אמבון, נדב",במות פתוחות,
"אמויאל, שלומי",במות פתוחות,צחוק אין דה בלוק
"אמזלג, תמיר",הופעות/כתיבה בטלוויזיה,צוות מנחוס
"אמיתי, חננאל",פתיחת קופות,
"אמסטרדמסקי, ליאור",הופעות/כתיבה בטלוויזיה,"כל מה שמצחיק בעולם, ערב הסטנדאפ המיותר"
"אנגל, נועה",במות פתוחות,
אסי,במות פתוחות,
"אסייג, דניאל",סטנדאפ לאחר כוכבות,
"אסייג, שלום",כוכבות,
"אקילוב, מרינה",קביעות במועדונים,"נשי ותהני, סטנדאפ פקטורי"
"אראל, נוי",במות פתוחות,
"ארבלי, דודי",קביעות במועדונים,סטנדאפ פקטורי
"ארז, דודו",פתיחת קופות,קאמל קומדי קלאב
"אריאלי, קובי",פתיחת קופות,
"ארלוק, הגר",במות פתוחות,
"ארליך, אילנה",במות פתוחות,
"אשכנזי, משה",סטנדאפ לאחר כוכבות,
"אשכנזי, עדי",כוכבות,
"בארי, איילת",במות פתוחות,
"בדישי, שאולי",פתיחת קופות,קאמל קומדי קלאב
"בודסקו, הדר",במות פתוחות,
"בוכריס, איתן",הופעות/כתיבה בטלוויזיה,
"בוני, ירון",פתיחת קופות,
"בוסקילה, תמיר",פתיחת קופות,סטנדאפ פקטורי
"בוקס, דניאל",הופעות/כתיבה בטלוויזיה,ערב הסטנדאפ המיותר
"בוקר, יובל סול",במות פתוחות,
"בורשטיין, עומר",פתיחת קופות,"שלישיית בערך, סטנדאפ פקטורי"
"בושם, נדב",פתיחת קופות,ישבנים קוראים שירה
"בטרקוב, פיטר",במות פתוחות,
"ביבי, טירן",הופעות/כתיבה בטלוויזיה,
"בייבי בייבי, שלמה",קביעות במועדונים,סטנדאפ פקטורי
"בייטל, נילי",במות פתוחות,קומדי בר
"בירנבוים, ארז",פתיחת קופות,"ערב גסויות, סטנדאפ פקטורי"
"בירנברג, אורן",במות פתוחות,
"בלבן, לירית",פתיחת קופות,נשי ותהני
"בלולו, קובי",קביעות במועדונים,קאמל קומדי קלאב
"בלומנבלט, מתן",הופעות/כתיבה בטלוויזיה,"צ' סופית, ערב הסטנדאפ המיותר"
"בלומנפלד, מירי",פתיחת קופות,
"בלילה, חיים",במות פתוחות,
"בן אבו, נתנאל",במות פתוחות,
"בן ברוך, בן",פתיחת קופות,
"בן גיגי, מיכל",במות פתוחות,
"בן דוד, עידן",קביעות במועדונים,קומדי בר
"בן דרור, אסתר",במות פתוחות,
"בן חורין, נתנאל",במות פתוחות,ערב הסטנדאפ החמים
"בן משה, שלי",במות פתוחות,
